author_id;author_name
847;Tove Jansson
849;Adam Frost
850;Mirja De Vries
851;William B Kelly
852;Dora S Mitchell
853;Magic Journal Publishing
854;U S Games Systems
855;The Law Library
856;James Sylvius Law
857;Guillem Ross
858;Sysadmin and Network Administrators Jour
861;Better Homes & Gardens
865;James Mark Baldwin
866;Rob Harrop
871;Food and Agriculture Organization
874;Caroline Pitcher
880;Susana Casares Domingo
882;Dr Dan Smith
883;Jean Louis Sellier
884;Julie Seabrook Ream
885;Jasper Kim
887;Douglas J Preston
889;National Council on Radiation Protection and Measurements
890;Shawn Rashid
891;David L. Sills
892;Phat Dog Vintage
894;Alan Bridgewater
895;Anders S. Lunde
902;Douglas W Harwood
903;Peony Press
904;Dan Signer
907;Lynn Nanos
908;Swami Vivekananda
909;Boy Scouts of America
910;Joseph A Bogan
911;Krauss
912;Emil Farkas
913;Modiphius
914;Sommerville
915;Rodrigo Hernandez Cabos
921;Thomas Readshaw
922;Charles Astor Bristed
923;Thomson Jay Hudson
926;Serge Testa
927;Jeannette Murfee-Orsi
930;Hannah Maslen
931;British Library
932;Daniel F Ford
934;DK
935;Stephen D Delear
936;Isabel Thomas
939;Hermann Czech
940;Paul Falcone
943;Cesar Perez Lopez
944;Jim Knowlton
947;Kate Spohn
948;Gail Attwell
951;Charlotte Ford
952;Mpp Notebooks
959;Hans-Rudolf Behrendt
960;Muhammad Khurram Bhatti
961;Phillis A. Rustam
962;Jane Mount
968;Satish Jain
969;Scott Gardner
970;Erica Sadun
971;Margot Tollefson
972;Scotts Jason
973;Johanna Basford
974;Vincenzo De Falco
975;Ernest Francisco Fenollosa
976;Shaikh Shahid
977;Amit Malik
981;William Stanek
982;Dav Pilkey
983;Alicia Merrett
984;Lysander Spooner
985;Times Books
988;Pragati Ogal Rai
990;Aurora
991;Lynn Edelman Schnurnberger
992;Anne Manera
993;Andrew McClurg
994;Marco Polo
996;Sydney P Waud
999;Terri Paajanen
1000;Deborah Stratton
1001;A P Folmer
1005;AA Publishing
1006;Brian W Kelly
1011;Christopher Ritchie
1012;Craig Shallahamer
1013;Jan Newmarch
1014;Jan Phillips
1015;Margaret K. Danson
1018;Jack Olsen
1019;Collins Maps
1020;Arika Williams
1021;Wolfram Gieseke
1022;Prof Ashraf Anwar
1023;Nicholas Brown
1026;Publishers of Down East
1030;Vibrant Publishers
1038;Philipp Meisen
1046;Tony Honore
1047;Nine Journal
1048;Brenda Morton
1049;Eamin Creative Publishing
1050;Ilya Somin
1051;Reinaldo Perez
1057;Patrick Donohoe
1061;It Notebooks
1062;Samuel J Godwin
1066;Pramod Chandra P. Bhatt
1072;John Geoffrey Garratt
1073;J.C. Salyer
1074;Nerdy Books by Witty Logic
1075;Inc Browntrout Publishers
1076;Hugh Bright
1080;Chris Anderson
1083;John Arana
1084;Jaime A Restrepo
1085;Walter Bragg
1090;PopOut Maps
1091;Virbrant Publishers
1094;Matthew MacDonald
1100;Abingdon Press
1101;David Goldman
1102;Warren Elsmore
1103;Jason Bock
1104;Tom Barnaby
1105;Dave Shea
1106;Richard Sperko
1107;Collins UK
1108;Dan Purser MD
1109;Lpc  Alicia Munoz
1110;Martha Longenecker
1111;Theo Mathew
1112;Peter Bishop
1127;Aleister Crowley
1128;Margaret Hutchings
1140;Thomas Suarez
1141;Graphique de France
1142;Marcel R. van Cleempu
1143;D.Subbaram Naidu
1144;P. S. Thiagarajan
1145;David L. Dill
1146;Sarah Hall
1147;Ronald Tarjany
1148;Christine Hayes
1150;David Schmidt
1156;Pierre Cointe
1161;Alan Mycroft
1162;Jeanne Rose
1163;Brigitte Barrager
1164;Ruth Wolverton
1165;Sir Hersch Lauterpacht
1166;Oxford University Press
1180;Bharat Jayaraman
1183;Robie Rogge
1184;Deborah Diesen
1185;Geoffroy De Lagasnerie
1186;Funda C Ao Nacional De Material Escolar
1187;Sascha Ossowski
1188;Jose D. P. Rolim
1189;Francesco Parisi-Presicce
1195;Jennifer Chrystal
1196;Kate Purcell
1202;Edici Ons S Alvora
1203;Smart Bookx
1204;Piet Mondrian
1205;Ben Mikaelson
1206;Jaani Riordan
1207;Rodolfo Amedeo Lanciani
1218;Judy Hall
1219;Kathryn Lasky
1220;Brian T Fitzpatrick
1221;Dieter Fensel
1224;Kyle Richter
1225;Abrams Noterie
1226;Eric Carle
1227;Martyn Levy
1228;Hema Maps
1233;Ana Maria Villar Varela
1236;Pomegranate Publishers
1237;Bellerophon Books
1238;Judy Sierra
1239;Kent Greenawalt
1243;Joseph L. Zachary
1244;Larry Pace
1245;Collectif
1246;Rytis Sileika
1249;Bertrand Russell
1250;Joy Deangdeelert Cho
1251;Derek French
1256;Minute Help Guides
1257;Mahmoud Parsian
1258;Joshua B. Smith
1259;Tom Magrini
1263;Living Grateful  for Network
1264;Alison Oliver
1266;Heather Strianese
1269;Lena Wiese
1270;Bob Roberts
1273;Inc. U S Games Systems
1274;Dennis Baker
1277;Kevin Wilson
1278;L Landry
1279;Awosejo Oluwaseun
1280;Max Green
1283;Drew Daywalt
1284;Guy Rinzema
1285;Maurice Thompson
1287;Nigel Treloar
1288;John Bartholomew And Son
1289;Mohamed Labouardy
1290;Johannes T Brandau
1291;Wayne Dixon
1294;Michalis Polychronakis
1296;Jason A. Engle
1297;Vincent Van Gogh
1299;Professor David Hricik
1300;Automobile Association
1301;Unknown
1302;Shelley Gaskin
1303;Michael Peacock
1307;Pascal Formann
1309;Christopher Hodges
1310;Anthony Gatrell
1311;Mitch Milam
1312;Stuart Grimshaw
1314;Openstack Contributors
1316;William H. Boothby
1317;Wolfgang Golubski
1318;Anuj Modi
1319;Antonio Martinez
1320;Steve Myers
1321;Viranch Mehta
1322;Everyday Carry Notebooks
1323;Norman Wilkinson
1324;Andreas Cellarius
1328;Diomidis Spinellis
1329;Michael Peirce
1330;Jimmy Holmes
1331;Joan M. Saslow
1332;Barbara Delinsky
1333;Michael Largo
1334;Creative Spirits Journals
1335;Stephen Fleming
1336;Real Joy Publications
1337;Potter
1338;Pomegranate
1341;Hagstrom Map Company
1342;Luca Osborne
1346;Fabio Paterno
1349;Alexander Vrenios
1350;Pelgrane Press
1351;Wojciech Sumlinski
1352;Grosset & Dunlap
1357;Andy Warhol
1358;Robert Harris
1360;Patrick Lorenz
1361;Thearon Willis
1362;Luis Argerich
1363;Brian Sam-Bodden
1366;Jerry Brito Et Al
1367;Stephane Ducasse
1370;Syed Fahad Gilani
1375;Paul A. Watters
1386;Willow Creek Press
1389;Halford John Mackinder
1390;Adam Freeman
1394;Charles Brown
1400;Luciana Duranti
1405;H Jackson Brown
1406;McGraw-Hill
1413;Andreas Klage
1414;David Cummings
1415;Hariprasad Kodancha
1416;Sam Kean
1417;Melissa & Doug
1418;Gareth Moore
1429;Conor Ryan
1430;Alessandro Pasetti
1431;Philippe Codognet
1434;Steve Kenson
1435;Brie Harrison
1438;Hartnett House Map Publishers
1449;Reinhard Wilhelm
1452;Bernard Kingston
1453;Tuttle Editors
1454;Richard A. Falk
1455;April Sayre
1462;Sophia Drossopoulou
1463;West Ham United
1464;Georgia O'Keeffe
1467;ADC the Map People
1468;Annalisa Bossi
1476;Victor Malyshkin
1477;Mark Wallace
1478;Sigrid Calon
1479;Charley Harper
1480;Pete Lyons
1481;Reise- Und Verkehrsverlag
1488;Lars Asplund
1489;Maggie A. Sichter
1490;Andrei Marmor
1491;Peter Joyce
1502;Strider Lab
1503;Deviant Ollam
1504;Grahame Smith
1505;Nick Bruel
1506;Swift Planners
1509;Dr Alisdair Rogers
1517;Jenny Tylden-Wright
1518;Franklin Carmichael
1519;Christopher Milne
1520;Catholic Book Publishing Corp
1521;Emily Bazelon
1522;Bureau de La Statistique Du Qu Ebec
1527;Robert B Fay Mis
1530;Martin Sergio Adrian
1531;Jason Bulmahn
1533;Lynn Gordon
1536;Nicholas A. Basbanes
1537;Jon Weiner
1538;Volkswagenwerk
1542;Dudley Storey
1543;Christine Wolfinger
1547;Mango House Publishing
1548;J. Kim Wright
1549;Joseph Muli
1553;Smart Brain Training Solutions
1554;AA.Vv.
1555;S. T. Allworth
1556;Amy Brooks
1560;Mapquest Com
1561;Jonathan Reid
1562;Wasim Ahmed
1563;Atif Memon
1569;Mark Furman
1570;Jennifer Peace Rhind
1571;Joe Dolan
1574;Arthur Berezin
1580;Scott Rifenbark
1581;Mimi Vang Olsen
1586;Louis McMeeken
1587;Shi-Kuo Chang
1590;Hicham Kadiri
1591;Paulino Calderon Pale
1592;T Daniel Ricketts
1593;RHS
1594;Cary Koegle
1597;Robert Gibson
1598;Jason Ventresco
1609;Dean Russo
1610;Betsy Kelley
1611;Klutz
1614;Peter Anich
1615;Klaus Dembowski
1616;Lisa Congdon
1617;Adam Rubin
1618;Running Press
1628;Centro De Informaci On Para el Desarrollo
1633;Daniel Stender
1641;Fantasy Flight Games
1642;Brian Spierin
1643;Planeta
1647;Rajiv Khosla
1654;Laughing Elephant Publishing
1655;Compiled by Barbour Staff
1656;Eliza Southwood
1657;Steve Cavanagh
1658;Bernardus Schotanus A Sterringa
1659;Roman Alexander
1660;Molly Elodie Rose
1661;Mark G. Sobell
1662;George T Drake
1665;Joyful Notebook
1666;Andrew Frinkle
1667;Tom Cox
1670;Philip's Maps and Atlases
1678;Scott Preston
1679;James Luetkehoelter
1680;Gordon Hogenson
1681;Bink Cummings
1687;Roger Lampaert
1692;Ronald F. Boisvert
1695;Julian James McKinnon
1696;Anis Koubaa
1697;Ryan Beauchesne
1700;Kartogr Afiai V Allalat
1701;H.Frank Graubart-Cervone
1702;David A Williams
1705;Michael W Lucas
1706;Jack Vettriano
1712;Colonel M. H. Cobb
1726;R. Manjunath
1727;Fedora Documentation Project
1728;Adam J. Kurtz
1729;George Christopher Wilson
1730;Geographia Ltd
1731;Ian Chivers
1735;Jim X. Chen
1740;Peter Pauper Press Inc
1741;Ram Dass
1743;Harper Collins Publishers
1744;Richard A. Mollin
1749;Eric Griffin
1750;Lea Redmond
1751;Elizabeth A. Fisher
1755;Jonathan Lee
1764;Lynne C. Lancaster
1765;van Ryder Games
1766;Alistair Ross
1767;Peter Robertson
1768;A. Ferriday
1771;Alexander A. Shvartsman
1774;Frederic Benhamou
1778;Marcos Chin
1779;Leslie Jonath
1782;Michael Kidron
1790;Antti Valmari
1793;Rachid Guerraoui
1794;Martin Old
1795;Louis Weirter
1802;Eugene C. Freuder
1808;William C. Fuller
1813;Gilles Barthe
1822;Alex Egner
1823;Patsy McGarry
1824;DK Publishing
1825;David A. Watt
1826;Tom Maibaum
1831;Sonke Hartmann
1834;Pepin Van Roojen
1836;Nimer Sultany
1848;Jean-Pierre Finance
1852;N/A
1853;Hope Egan
1854;John Carrera
1855;Francis G. Jacobs
1856;George Philip & Son
1857;Harold Fullard
1858;S. C. Jain
1864;Mehmet Aksit
1866;Zhong Shao
1873;John Wang
1874;Aasim Khurshid
1875;Smirk & Dagger
1876;Falcon Studios
1877;The Scots Magazine
1878;Susan Bright
1879;Global Graphics Inc
1880;F W Beers
1885;Rami Sarieddine
1886;Peter Paule
1887;Julia Rothman
1891;Map Link
1892;Michael J. Roy
1893;Guy Hart-Davis
1894;Omar Khedher
1899;Topwuff Books
1900;Piers Paul Read
1901;Eckhart Tolle
1902;Jordan Crane
1906;Prashant Priyam
1907;Dennis Hutten
1908;Daniel Jones
1911;Ayelet Keshet
1912;Maddy Harland
1927;Zhai
1928;John Copeland Nagle
1929;Dr. Dominik Hauser
1930;Reena Begum
1931;Veronica E Bailey
1932;Nick Taylor
1933;John Rogerson
1936;Gregory Walters
1939;Jess Lair
1940;Lang Companies
1941;Ruti G. Teitel
1942;Gallery Books
1948;Not for Tourist Inc
1949;Matthew Knott
1950;Daniel Langenhan
1953;Angela Rossi
1954;Craig Cameron
1955;Alice Edwards
1956;Reuven S. AVI-Yonah
1957;Hammond Inc
1958;American Map Corporation
1959;Hammond World Atlas Corporation
1960;Hans P. Langtangen
1961;Edward Horley
1964;Christian Lacroix
1965;Nigel Foster
1966;Bryan A Garner
1968;Ph.D.  Jurgen Wendler
1969;Andreas Witt
1970;Deepak Mashru
1974;Vinayak K. Prasad
1975;Thomas Brothers Maps
1976;Ryan Turner
1982;Axel Ross
1983;Standard Booklets
1984;BROWNTROUT UK- US
1985;John Cooper
1989;Judith Bray
1995;G Verma
1996;Jason Eckert
2000;Dave Kawula
2001;Thomas Kinkade
2009;Shih-Fu Chang
2010;Peter Myers
2015;Itmb Canada
2016;International Travel Maps
2018;Derrick Story
2023;David McCarthy
2024;Vikki Chu
2025;Rogena Mitchell-jones
2028;Eileen Spring
2029;Harry Hirst
2030;Universal Business Directories
2031;Gregorys Publishing Company
2032;Hartley & Marks Publishers Inc
2033;Friedrich Wilhelm Nietzsche
2034;Laura L. Keogh
2035;Rachel Kleinfeld
2036;Martin Plamondon
2040;Graeme Smith
2041;Ragunathan Rajkumar
2042;Moshe Dror
2043;MS Shannon L Campo
2045;Stephen Humphreys
2046;Julia Fionda
2047;Styria
2048;Georg Matthaeus Vischer
2049;K Ummerly
2050;Francois Jeanneret
2051;Ubuntu Documentation Project
2052;Olivia Julius Dunggat
2053;Book Toucan
2054;C R Journals
2055;Daniel W Park
2056;Janet Blake
2059;Delorme Mapping Company
2060;Delorme Publishing Company
2061;GK Hall
2062;M.Tim Jones
2063;Paul Robichaux
2066;Gifted and Talented Test Editors
2067;Smith Gibbs
2071;F M Asin
2072;Magdalena Sobolewska-Lacka
2081;Utagawa Hiroshige
2082;Trains Express
2083;Yaniv Roznai
2084;Glen Searle
2085;Pa Nstwowe Przedsi Ebiorstwo Wydawnictw Kartograficznych
2086;Polskie Przedsi Ebiorstwo Wydawnictw Kartograficznych im Eug
2087;Udo Voges
2090;Key Education Publishing
2091;Calligraphuck
2092;Harold Macmillan
2093;George T. Patterson
2094;Riaz Tejani
2095;Voluntad Editores
2096;Juan Bautista Vilar
2097;Mick Aston
2108;Jack Humphreys
2115;Generalstabens Litografiska Anstalt
2116;E. Iachello
2117;Antonella Greco
2118;Enrico Guidoni
2123;Esprit Consortium Amice
2124;Stephanie Baxter
2125;Louise Porter
2126;Virginia Marshall
2129;Pedro L. San Miguel
2130;Judy Stove
2131;Marjorie Sarnat
2132;Dick Vincent
2139;Laughing Elephant
2140;Bonita Meyersfeld
2141;Jessie Roberts
2142;Christoph Moellers
2143;Michelin Travel & Lifestyle
2146;Globetrotter
2147;Dines Bjorner
2151;Alexandra Schuppli
2152;Lanxin Xiang
2155;Steve Watt
2157;Gilbert Torlage
2170;Darren Quarter
2171;Ben Klemens
2174;Dieter Grimm
2175;Alan Godfrey
2177;Geoff Cooper
2178;National Geographic Learning
2183;Alan Bundy
2185;Dany Paragouteva
2186;Alyssa Nassner
2190;Myles Dungan
2191;Dominic McGoldrick
2192;Fissoo Daniel
2193;Ray Rischpater
2195;Emily Kame Kngwarreye
2196;Diary Travel
2199;Sonalo
2200;Tim Cooke
2201;Nick Middleton
2202;Travel Journals Publishing
2203;Gohar Ahmed
2204;J. Peter Bruzzese
2205;Byron Francis
2206;Belinda Davies
2207;Ellie Claire
2208;Tamra Orr
2213;David Woodward
2216;Kevin J Smith
2225;The Gardener's Botanical Ross Bayton
2226;Gregory H. Fox
2229;Anne Rodell
2230;Stanley Fish
2231;Andrew Boyd
2232;Thomas Fillans Kennedy
2233;Tracy L Mathis
2235;Werner Hilgemann
2236;Mark Beckner
2245;Llewellyn Publications
2249;H. Peyton Young
2252;J Paul Goode
2253;The Freebsd Documentation Project
2254;Jonathan Moeller
2255;Blank Books Journals
2258;Stewart Calligan
2259;Randell Houpt
2263;William Collins Sons & Co
2264;Rand McNally and Company
2267;John Paul Mueller
2268;Donovan Von Succii
2271;Robert Kolb
2272;Reinmar Wolff
2273;Bootlin
2274;University Richard Campbell
2279;Nigel Nicolson
2280;Intermap Production Services
2281;Edward Stanford Ltd
2284;Anime Lovers Note
2288;Rebecca Henderson
2289;Jessica Hische
2290;Lisa Ruffolo
2294;The Museum of Modern Art
2295;Jeffrey Kacirk
2296;Sydney Hauser
2297;Heart and Soul Journals
2298;Mark Asher
2299;Universal Business Directories Pty Ltd
2300;Joint Oceanographic Institutions
2301;Michael Still
2304;Joachim Rossberg
2305;Maxwell MacKenzie
2308;Jens M. Scherpe
2309;Gary Walsh
2311;Tony English
2312;Chris Fox
2313;John M Hawkins
2314;Magma
2319;M. Cherif Bassiouni
2320;Universal Map
2321;Ramin Yahyapour
2322;A Blue Mountain Arts Collection
2323;Suzy Toronto
2324;Ioannis P. Vlahavas
2325;Sanjoy Paul
2340;HMCO
2347;Sam Alapati
2348;Nicola Brown
2349;Joseph Kinsella
2350;Wto Secretariat
2351;Chris Ballinger
2352;Treasure Chest Books
2353;Boston Public Library
2354;REINHARTZ
2355;Weldon Owen
2356;Daniel Woolston
2357;Vipul Gupta
2358;Robin Cooke
2359;Veropa Press
2360;Gibbs Smith Publisher
2362;Jane Starr Weils
2364;Varios
2365;Bob Vila
2366;Graham Draper
2369;Pierpaolo Degano
2374;George Jacobs
2375;Golden Print
2376;Meredith Jacobs
2377;Charles Schulz
2378;Not Known
2379;Bartholomew
2380;Collins Publishers
2381;BERTELSMAN
2386;National Audubon Society
2387;Sirko Harder
2390;Jeff Kolby
